city_key,country_key,city,country,latitude,longitude,status,source,geoname_id,match_name,notes
02150,united states,02150,United States,,,unresolved,GeoNames cities500,,,No exact city/country match; review required
aachen,germany,Aachen,Germany,50.77664,6.08342,resolved,GeoNames cities500,3247449,Aachen,canonical/ascii match
abbottabad,pakistan,Abbottabad,Pakistan,34.1463,73.21168,resolved,GeoNames cities500,1185056,Abbottabad,canonical/ascii match
abu dhabi,united arab emirates,Abu Dhabi,United Arab Emirates,24.45118,54.39696,resolved,GeoNames cities500,292968,Abu Dhabi,canonical/ascii match
abuja,nigeria,Abuja,Nigeria,9.05785,7.49508,resolved,GeoNames cities500,2352778,Abuja,canonical/ascii match
addis ababa,ethiopia,Addis Ababa,Ethiopia,9.02497,38.74689,resolved,GeoNames cities500,344979,Addis Ababa,canonical/ascii match
aguascalientes,mexico,Aguascalientes,Mexico,21.88262,-102.2843,resolved,GeoNames cities500,4019233,Aguascalientes,canonical/ascii match
ahmedabad,india,Ahmedabad,India,23.02579,72.58727,resolved,GeoNames cities500,1279233,Ahmedabad,canonical/ascii match
ajman city,united arab emirates,Ajman City,United Arab Emirates,25.40177,55.47878,resolved,GeoNames cities500,292932,Ajman,unambiguous alternate-name match
alīgarh,india,Alīgarh,India,27.88145,78.07464,resolved,GeoNames cities500,1279017,Alīgarh,canonical/ascii match
amman,jordan,Amman,Jordan,31.95522,35.94503,resolved,GeoNames cities500,250441,Amman,canonical/ascii match
amsterdam,netherlands,Amsterdam,Netherlands,52.37403,4.88969,resolved,GeoNames cities500,2759794,Amsterdam,canonical/ascii match
antananarivo,madagascar,Antananarivo,Madagascar,-18.91368,47.53613,resolved,GeoNames cities500,1070940,Antananarivo,canonical/ascii match
apex,united states,Apex,United States,35.73265,-78.85029,resolved,GeoNames cities500,4452808,Apex,canonical/ascii match
ariana,tunisia,Ariana,Tunisia,36.86012,10.19337,resolved,GeoNames cities500,2473247,Aryanah,unambiguous alternate-name match
arizona,united states of america,Arizona,United States of America,,,unresolved,GeoNames cities500,,,No exact city/country match; review required
arrifes,morocco,Arrifes,Morocco,,,unresolved,GeoNames cities500,,,No exact city/country match; review required
ashtarak,armenia,Ashtarak,Armenia,40.2976,44.36152,resolved,GeoNames cities500,616877,Ashtarak,canonical/ascii match
asyūţ,egypt,Asyūţ,Egypt,27.18096,31.18368,resolved,GeoNames cities500,359783,Assiut,unambiguous alternate-name match
athens,greece,Athens,Greece,37.98376,23.72784,resolved,GeoNames cities500,264371,Athens,canonical/ascii match
atlanta,united states,Atlanta,United States,33.749,-84.38798,resolved,GeoNames cities500,4180439,Atlanta,canonical/ascii match
augsburg,germany,Augsburg,Germany,48.37154,10.89851,resolved,GeoNames cities500,2954172,Augsburg,canonical/ascii match
austin,united states,Austin,United States,30.26715,-97.74306,resolved,GeoNames cities500,4671654,Austin,canonical/ascii match
balkh,afghanistan,Balkh,Afghanistan,36.75635,66.8972,resolved,GeoNames cities500,1147290,Balkh,canonical/ascii match
balotra,india,Balotra,India,25.83242,72.24,resolved,GeoNames cities500,1277527,Balotra,canonical/ascii match
baltimore,united states,Baltimore,United States,39.29038,-76.61219,resolved,GeoNames cities500,4347778,Baltimore,canonical/ascii match
banglore,india,Banglore,India,12.97194,77.59369,resolved,GeoNames cities500,1277333,Bengaluru,canonical/ascii match
banjul,gambia,Banjul,Gambia,13.45274,-16.57803,resolved,GeoNames cities500,2413876,Banjul,canonical/ascii match
basel,switzerland,Basel,Switzerland,47.55839,7.57327,resolved,GeoNames cities500,2661604,Basel,canonical/ascii match
